**Identified Tabular Datasets**

1.  **Employee Roster**
        *   Duration
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

34. **Maternity and Child Health Service Encounters**
    *   **Quotes:**
        *   "promote or provide diagnostic and therapeutic services for maternity and child health" (§ Section 556.d.6)
    *   **Why:** Tracks individual service delivery for maternity and child health, ensuring access to care and monitoring health outcomes.
    *   **One row represents:** A single service encounter related to maternity or child health.
    *   **Covers:** All diagnostic and therapeutic services for maternity and child health.
    *   **Columns:**
        *   Service Encounter ID
        *   Client ID (Mother/Child)
        *   Date of Service
        *   Service Type (e.g., Prenatal Check-up, Pediatric Exam, Immunization)
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

35. **Family Planning Service Encounters**
    *   **Quotes:**
        *   "promote or provide diagnostic and therapeutic services for... family planning" (§ Section 556.d.6)
    *   **Why:** Tracks individual service delivery for family planning, ensuring access to services and monitoring program effectiveness.
    *   **One row represents:** A single service encounter related to family planning.
    *   **Covers:** All diagnostic and therapeutic services for family planning.
    *   **Columns:**
        *   Service Encounter ID
        *   Client ID
        *   Date of Service
        *   Service Type (e.g., Contraception Counseling, STI Screening, Pregnancy Testing)
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

36. **Communicable Disease Service Encounters**
    *   **Quotes:**
        *   "promote or provide diagnostic and therapeutic services for... communicable disease" (§ Section 556.d.6)
    *   **Why:** Tracks individual service delivery for communicable diseases, crucial for public health surveillance and intervention.
    *   **One row represents:** A single service encounter related to a communicable disease.
    *   **Covers:** All diagnostic and therapeutic services for communicable diseases.
    *   **Columns:**
        *   Service Encounter ID
        *   Client ID
        *   Date of Service
        *   Service Type (e.g., Testing, Treatment, Contact Tracing)
        *   Disease
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

37. **Medical Rehabilitation Service Encounters**
    *   **Quotes:**
        *   "promote or provide diagnostic and therapeutic services for... medical rehabilitation" (§ Section 556.d.6)
    *   **Why:** Tracks individual service delivery for medical rehabilitation, ensuring access to care and monitoring recovery progress.
    *   **One row represents:** A single service encounter related to medical rehabilitation.
    *   **Covers:** All diagnostic and therapeutic services for medical rehabilitation.
    *   **Columns:**
        *   Service Encounter ID
        *   Client ID
        *   Date of Service
        *   Service Type (e.g., Physical Therapy, Occupational Therapy, Counseling)
        *   Condition
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

38. **School Children Health Service Encounters**
    *   **Quotes:**
        *   "promote or provide medical and health services for school children" (§ Section 556.d.7)
    *   **Why:** Tracks individual service delivery for school children, ensuring their health and well-being.
    *   **One row represents:** A single service encounter for a school child.
    *   **Covers:** All medical and health services provided to school children.
    *   **Columns:**
        *   Service Encounter ID
        *   Child ID
        *   School ID
        *   Date of Service
        *   Service Type (e.g., Vision Screening, Dental Check, Health Education)
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

39. **Ambulant Sick and Needy Service Encounters**
    *   **Quotes:**
        *   "promote or provide medical and health services for the ambulant sick and needy persons of the city" (§ Section 556.d.7)
    *   **Why:** Tracks individual service delivery for ambulant sick and needy persons, ensuring access to essential health services.
    *   **One row represents:** A single service encounter for an ambulant sick or needy person.
    *   **Covers:** All medical and health services provided to ambulant sick and needy persons.
    *   **Columns:**
        *   Service Encounter ID
        *   Client ID
        *   Date of Service
        *   Service Type (e.g., General Medical Consultation, Prescription Assistance, Referral)
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

40. **Incarcerated Individuals Health Service Encounters**
    *   **Quotes:**
        *   "promote or provide medical and health services for the incarcerated individuals of prisons maintained and operated by the city" (§ Section 556.d.8)
    *   **Why:** Tracks individual service delivery for incarcerated individuals, ensuring their right to medical and health services.
    *   **One row represents:** A single service encounter for an incarcerated individual.
    *   **Covers:** All medical and health services provided to incarcerated individuals in city-maintained prisons.
    *   **Columns:**
        *   Service Encounter ID
        *   Incarcerated Individual ID
        *   Prison ID
        *   Date of Service
        *   Service Type (e.g., Medical Exam, Mental Health Counseling, Emergency Care)
        *   Provider ID (linked to Employee ID from Dataset 1: Employee Roster or Center ID from Dataset 24: Public Health Center Registry)
        *   Outcome Notes
        *   Cost (linked to Transaction ID from Dataset 6: Financial Transactions and Payments)

41. **Medical Audits**
    *   **Quotes:**
        *   "the department shall have the authority to conduct medical audits, to receive reports on forms prepared or prescribed by the department" (§ Section 556.d.2)
    *   **Why:** Tracks the conduct and findings of medical audits to ensure quality of care and compliance with standards.
    *   **One row represents:** A single medical audit event.
    *   **Covers:** All medical audits conducted by the department.
    *   **Columns:**
        *   Audit ID
        *   Audit Date
        *   Audited Entity ID (linked to Facility ID from Dataset 2: Agency Facilities Registry, Provider ID from Dataset 15: Child Care Provider Registry, or other relevant entity)
        *   Audit Scope
        *   Findings
        *   Recommendations
        *   Status (Open, Closed, In Progress)
        *   Follow-up Date
        *   Auditor ID (linked to Employee ID from Dataset 1: Employee Roster)

---

**Non-Tabular Information:**

*   Job applications (text, resumes, cover letters)
*   Rules and regulations (legal documents)
*   Receipts (individual paper/image, financial data is summarized in Dataset 6)
*   Photos (image files)
*   Research documents (reports, papers, presentations)
*   Legal changes (legislative text, policy documents)
*   Medical records (detailed patient charts, often semi-structured or free text)
*   Parent visit records (the *arrangement* is a workflow task, the *visit itself* is captured in Dataset 16 as an inspection type)
