**Data Systems Plan for the Department of Citywide Administrative Services (DCAS)**

As an operations expert, I have meticulously analyzed the provided charter to identify the critical tabular datasets required for the Department of Citywide Administrative Services (DCAS) to fulfill its legal obligations and effectively manage its diverse operations. The datasets are structured by workflow and department, ensuring accuracy, security, and utility for management decision-making and oversight.

---

**Tabular Datasets**

1.  **Employee Records (Citywide)**
    *   **Why:** Tracks cleaning schedules and completion for public buildings to ensure hygiene and operational standards.
    *   **One row represents:** A single cleaning event.
    *   **Covers:** All cleaning activities for public buildings and facilities.
    *   **Columns:** Cleaning ID, Building/Facility ID (16), Date of Cleaning, Cleaning Crew Employee ID (1), Type of Cleaning (e.g., Daily, Weekly, Deep Clean), Area Cleaned, Supervisor Employee ID (1), Inspection Date (post-cleaning), Inspection Outcome.

19. **Procurement Transactions**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The procurement of goods and other personal property; the disposition of surplus property; the provision to city agencies of services other than personal services" (Section 811)
        *   "With respect to the procurement and disposal of goods and other personal property and the procurement of services other than personal services, the commissioner shall have the following powers and duties: (a) to purchase, inspect, store and distribute all goods, supplies, materials, equipment and other personal property required by any city agency, except as otherwise provided by law, or by any office of any county wholly included in the city for which supplies, materials or equipment are required, payment for which is made from the city treasury" (Section 823.a)
        *   "To procure, supply and manage contractual services other than personal or professional services for the use of city agencies" (Section 823.d)
        *   "To promulgate rules governing the purchase, payment, storage, and delivery of goods, supplies, materials and equipment by agencies of the city and the disposal of surplus and obsolete materials, and to supervise their enforcement" (Section 823.e)
    *   **Why:** Tracks all purchases and service contracts for city agencies, ensuring compliance and financial oversight.
    *   **One row represents:** A single procurement transaction (purchase order or service contract).
    *   **Covers:** All purchases of goods, supplies, materials, equipment, and non-personal/professional contractual services.
    *   **Columns:** Procurement ID, Purchase Order Number, Contract Number, Item/Service Description, Quantity, Unit Price, Total Cost, Vendor/Contractor ID (28), Procurement Date, Delivery Date, Receiving Agency ID (2), Payment Status, Inspection Status, Compliance with Specifications (22), Contract Type (Goods, Supplies, Equipment, Contractual Service).

20. **Inventory and Storehouse Management**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To establish and maintain one or more city storehouses, operating therein a modern system of stores control, to supply the estimated current needs of the agencies for which the commissioner is authorized to purchase. All purchases other than such purchases for stock for estimated needs and all deliveries from such stock shall be upon justified requisitions. The commissioner shall also oversee the establishment of efficient and economical systems of stores control in other city agencies and review the operations of such storehouses to assure their efficient and economical management" (Section 823.b)
        *   "To receive all surplus and obsolete personal property not required by any agency for which the commissioner has the power to make purchases and all such agencies shall surrender such property to the commissioner who shall dispose thereof pursuant to rules promulgated by him or her governing its redistribution, exchange, transfer, sale or other disposition" (Section 823.c)
    *   **Why:** Manages the flow of goods, from acquisition to distribution or disposal, ensuring efficient resource utilization.
    *   **One row represents:** A single inventory item in a storehouse or a movement of an item.
    *   **Covers:** All goods, supplies, materials, and equipment in city storehouses and agency storehouses.
    *   **Columns:** Inventory Item ID, Commodity ID (22), Storehouse ID, Location in Storehouse, Quantity On Hand, Unit of Measure, Last Stock Update Date, Reorder Point, Purchase Order ID (19), Requisition ID, Delivery Date, Agency ID (2) (for agency storehouses), Surplus Status, Disposal Date, Disposal Method.

21. **Surplus Property Disposition**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The disposition of surplus property" (Section 811)
        *   "To receive all surplus and obsolete personal property not required by any agency for which the commissioner has the power to make purchases and all such agencies shall surrender such property to the commissioner who shall dispose thereof pursuant to rules promulgated by him or her governing its redistribution, exchange, transfer, sale or other disposition" (Section 823.c)
        *   "To promulgate rules governing the purchase, payment, storage, and delivery of goods, supplies, materials and equipment by agencies of the city and the disposal of surplus and obsolete materials, and to supervise their enforcement" (Section 823.e)
    *   **Why:** Tracks the proper and compliant disposal of city assets, ensuring accountability and maximizing value.
    *   **One row represents:** A single disposition event for surplus property.
    *   **Covers:** All surplus and obsolete personal property disposed of by DCAS.
    *   **Columns:** Disposal ID, Inventory Item ID (20), Commodity ID (22), Original Agency ID (2), Date Declared Surplus, Date of Disposition, Disposal Method (Redistribution, Exchange, Transfer, Sale, Scrap), Recipient/Buyer, Revenue Generated, Compliance with Rules.

22. **Commodity Standards and Specifications**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To classify all goods, supplies, materials and equipment; to adopt as standards the minimum number of qualities, sizes and types of commodities consistent with efficient operation and life cycle costs; and to promulgate and enforce written specifications for all such standard commodities." (Section 823.f)
    *   **Why:** Ensures standardization and quality control for procured goods, promoting efficiency and cost-effectiveness.
    *   **One row represents:** A single standard commodity classification or specification.
    *   **Covers:** All classified goods, supplies, materials, and equipment.
    *   **Columns:** Commodity ID, Commodity Name, Classification, Standard Quality, Standard Size, Standard Type, Written Specification Details, Life Cycle Cost Analysis, Effective Date of Specification, Revision Date.

23. **Automotive Fleet Inventory**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The provision of automotive, communication, energy, and data processing services." (Section 811)
        *   "The commissioner shall acquire by purchase, lease or otherwise, vehicles and other automotive equipment for the use of city agencies; manage, maintain, store and operate a fleet of motor vehicles; assign fleets to agencies in accordance with the direction of the mayor and ensure the effective operation of all shops, yards, garages, fuel depots and other facilities required for the maintenance of fleets operated by agencies; and ensure the maintenance of records for all city-owned vehicles." (Section 827)
    *   **Why:** Essential for managing, maintaining, and tracking the city's vehicle fleet.
    *   **One row represents:** A single city-owned vehicle or piece of automotive equipment.
    *   **Covers:** All vehicles and automotive equipment acquired, managed, and maintained by DCAS.
    *   **Columns:** Vehicle ID, Make, Model, Year, VIN, License Plate, Acquisition Date, Acquisition Method (Purchase, Lease), Current Agency ID (2), Assignment Date, Fuel Type, Odometer Reading, Maintenance Schedule, Last Maintenance Date, Current Status (In Service, Out of Service, Retired), Disposal Date, Disposal Method.

24. **Automotive Maintenance Records**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "Manage, maintain, store and operate a fleet of motor vehicles" (Section 827)
        *   "Ensure the effective operation of all shops, yards, garages, fuel depots and other facilities required for the maintenance of fleets operated by agencies" (Section 827)
        *   "Ensure the maintenance of records for all city-owned vehicles." (Section 827)
    *   **Why:** Tracks vehicle upkeep for safety, longevity, and operational readiness of the city fleet.
    *   **One row represents:** A single maintenance or repair event for a city vehicle.
    *   **Covers:** All maintenance and repair activities for city-owned vehicles.
    *   **Columns:** Automotive Maintenance ID, Vehicle ID (23), Date of Request, Date of Work, Work Order ID, Description of Work, Type of Work (e.g., Oil Change, Tire Rotation, Engine Repair), Shop ID, Mechanic Employee ID (1), Parts Used (list of Commodity IDs (22)), Cost, Status (Scheduled, In Progress, Completed), Odometer Reading at Service.

25. **Automotive Fuel Transactions**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "Ensure the effective operation of all shops, yards, garages, fuel depots and other facilities required for the maintenance of fleets operated by agencies" (Section 827)
        *   "Ensure the maintenance of records for all city-owned vehicles." (Section 827)
    *   **Why:** Tracks fuel usage for cost control and operational efficiency of the city fleet.
    *   **One row represents:** A single fuel transaction for a city vehicle.
    *   **Covers:** All fuel dispensed at city fuel depots or purchased for city vehicles.
    *   **Columns:** Fuel Transaction ID, Vehicle ID (23), Date of Transaction, Fuel Depot ID, Fuel Type, Quantity (Gallons/Liters), Cost, Driver Employee ID (1), Odometer Reading at Refuel.

26. **Communication Services Inventory**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The provision of automotive, communication, energy, and data processing services." (Section 811)
        *   "WNYC Communications Group: to maintain, operate and administer in conformance with all federal, state and local laws and to use the facilities of such group to assist any agency which shall require and use such service and also for the instruction, enlightenment, entertainment, recreation and welfare of the inhabitants of the city by the broadcast of any matters which are deemed appropriate and necessary for the public interest and advantage and to connect such facilities with any broadcasting station to unite in the broadcasting of such matters and activities" (Section 825.a)
    *   **Why:** Manages communication infrastructure and services for city agencies and public broadcasting.
    *   **One row represents:** A single communication asset or service contract.
    *   **Covers:** All communication assets (e.g., radios, network equipment, broadcast facilities) and service contracts.
    *   **Columns:** Communication Asset ID, Asset Type (e.g., Radio, Network Device, Broadcast Transmitter, Service Contract), Description, Location, Acquisition Date, Vendor/Contractor ID (28), Service Provider, Contract Start Date, Contract End Date, Maintenance Schedule, Last Maintenance Date, Status, Assigned Agency ID (2), Usage Logs (list of Usage Log IDs).

27. **Energy Services Contracts**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The provision of automotive, communication, energy, and data processing services." (Section 811)
        *   "Gas and electricity: to have charge and control of furnishing the city or any part thereof, by contract or otherwise, with gas, electricity, steam, hot water or other energy source, except such functions as are exercised by the public utility service of the city." (Section 825.b)
    *   **Why:** Manages energy procurement for city operations, ensuring reliable and cost-effective utility services.
    *   **One row represents:** A single energy service contract.
    *   **Covers:** All contracts for gas, electricity, steam, hot water, or other energy sources for city use.
    *   **Columns:** Energy Contract ID, Service Type (Gas, Electricity, Steam, Hot Water, Other), Provider Name, Contract Start Date, Contract End Date, Contract Terms, Cost Structure, Usage Data (list of Usage Data IDs), Serviced Building/Facility IDs (16), Serviced Agency IDs (2).

28. **Vendor/Contractor Records**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To employ, when in the commissioner's opinion such services are necessary or desirable, qualified consultants in private practice to aid the commissioner in carrying out his or her duties and responsibilities with respect to public buildings or facilities; such consulting or advisory services shall be performed under the supervision of the commissioner" (Section 822.b)
        *   "To employ, where desirable, managing agents to manage city properties and collect rents therefrom and pay bills" (Section 824.e)
        *   "The head of each city agency shall require each employment agency, or authorized representative of workers with which it has a collective bargaining or other agreement or understanding and which is involved in the performance of recruitment and retention with the agency to furnish a written statement that such employment agency, labor union or representative shall not discriminate against employees or applicants for employment pursuant to federal, state or local law and that such union or representative will cooperate in the implementation of the agency's obligations pursuant to this chapter." (Section 815.k)
    *   **Why:** Tracks external entities providing services to the agency, ensuring compliance and performance.
    *   **One row represents:** A single vendor, consultant, or managing agent.
    *   **Covers:** All external entities contracted by DCAS for services.
    *   **Columns:** Vendor/Contractor ID, Name, Contact Person, Address, Phone, Email, Type of Service (e.g., Consultant, Managing Agent, Employment Agency, Labor Union, Procurement Vendor), Contract Start Date, Contract End Date, Contract Value, Performance Rating, Non-Discrimination Statement Received Date.

29. **Data Processing Services Requests**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The provision of automotive, communication, energy, and data processing services." (Section 811)
        *   "The commissioner shall provide data processing support, programming, and computer systems analysis services for city agencies when necessary or desirable, in accordance with executive orders promulgated by the mayor." (Section 826)
    *   **Why:** Tracks requests and provision of IT services to city agencies, ensuring efficient support.
    *   **One row represents:** A single request for data processing services.
    *   **Covers:** All requests for data processing support, programming, and computer systems analysis services.
    *   **Columns:** Service Request ID, Requesting Agency ID (2), Request Date, Service Type (Support, Programming, Systems Analysis), Description of Request, Assigned Staff Employee ID (1), Start Date, Completion Date, Status, Resolution, Hours Expended.

30. **Commodity and Construction Material Testing Records**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "To exercise and perform such other powers and duties as may be prescribed by law or delegated to him or her in relation to laboratory testing of commodities and construction materials." (Section 822.c)
    *   **Why:** Ensures quality and compliance of materials used in city projects and operations.
    *   **One row represents:** A single laboratory test performed on a commodity or construction material.
    *   **Covers:** All laboratory tests conducted on commodities and construction materials.
    *   **Columns:** Test ID, Material Type, Commodity Name, Batch Number, Test Date, Lab ID, Tester Employee ID (1), Test Parameters, Test Results, Pass/Fail Status, Compliance Standard, Project ID (if applicable).

31. **Investigation Records (Commissioner's Power)**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "The commissioner shall have the power to make investigations concerning all matters touching the enforcement and effect of the provisions of the civil service law insofar as it applies to the city and the rules and regulations prescribed thereunder, or concerning the actions of any examiner or subordinate of the department, or of any officer or employee of the city or of any county within the city, in respect to the execution of the civil service law; and in the course of such investigations the commissioner shall have the power to administer oaths, to compel the attendance of witnesses, and to examine such persons as deemed necessary." (Section 818)
    *   **Why:** Tracks investigations into civil service compliance and employee conduct, ensuring accountability.
    *   **One row represents:** A single investigation conducted by the commissioner.
    *   **Covers:** Investigations into civil service law enforcement and actions of city personnel.
    *   **Columns:** Investigation ID, Investigation Date, Subject (Employee ID (1), Department, Examiner, Subordinate), Allegation, Investigator Employee ID (1), Witnesses Interviewed, Oaths Administered, Findings, Outcome, Date of Outcome, Related Appeal ID (11).

32. **Designations to Exempt Positions**
    *   **OpenData Match:** N/A
    *   **Quotes:**
        *   "Notwithstanding any provision in this charter to the contrary, the mayor or head of an agency may designate any officer or employee occupying a position in the competitive class of the civil service to serve in a position in the exempt class, and in such case, the officer or employee so designated shall thereupon enter upon and exercise all the powers and duties and receive the salary of such exempt position, and shall retain all the rights, privileges and status of such officer or employee's position in the competitive class." (Section 821.a)
        *   "Such designation shall be in writing and shall be filed and remain of record in the office of such agency, in the office of the commissioner and in the office of the mayor and shall remain in force until revoked by the mayor or head of such agency, as the case may be." (Section 821.c)
        *   "Upon the termination of the officer or employee's services in such exempt position, except by dismissal for cause in the manner provided in section seventy-five of the civil service law, such officer or employee shall immediately and without further application return to the position in the competitive class with the status, rights, privileges and salary enjoyed immediately prior to the designation to the position in the exempt class." (Section 821.e)
    *   **Why:** Tracks temporary assignments to exempt positions and ensures proper return to the competitive class.
    *   **One row represents:** A single designation of an employee to an exempt position.
    *   **Covers:** All competitive class employees designated to serve in exempt positions.
    *   **Columns:** Designation ID, Employee ID (1), Original Competitive Civil Service Title ID (3), Exempt Position Title, Designation Date, Designating Authority (Mayor, Agency Head), Agency ID (2), Filing Date (Agency, Commissioner, Mayor), Revocation Date, Reason for Revocation, Return Date to Competitive Position, Dismissal for Cause (Yes/No).

---

**Non-Tabular Information**

The following information is mentioned in the charter but is typically maintained in document, text, or image format, rather than as structured tabular data:

*   Job applications (the full application documents)
*   Rules and regulations (the text of the rules and regulations)
*   Receipts (individual transaction documents, though data from them would be extracted into tabular datasets)
*   Research documents (e.g., studies, analyses)
*   Photos and other image-based information
*   Collective bargaining agreements (the text of the agreements)
*   Agency plans and programs (the full text of the plans, e.g., personnel management plans, affirmative employment plans)
*   Public hearing notices (the text of the notices published in the City Record)
*   Executive orders (the text of the orders promulgated by the mayor)
*   Training materials (the content of the training programs)
*   Recruitment materials, advertisements, solicitations (the content of these communications)
*   Written statements from employment agencies or labor unions regarding non-discrimination (the documents themselves)
*   Certificates of allocation for new positions (the physical or digital document itself)
*   Certificates of appointment compliance (the physical or digital document itself)
*   Legal changes (the text of new laws or amendments)
