**Section 1, Mission Summary:**

The Fire Department is responsible for the government, discipline, management, maintenance, and direction of the fire department, including extinguishing fires, providing emergency medical services, enforcing fire safety laws, and investigating fires within the city's jurisdiction. The agency protects lives and property by responding to emergencies, preventing fires, and ensuring compliance with fire safety regulations.

**Section 2, Data Summary:**

1.  Fire/EMS Incident Log
*   Section 15-127.a.2: "The commissioner is authorized and empowered to extend the department's fire alarm telegraph system whenever in his or her judgment it shall be deemed desirable, by the purchase, lease or license of the whole or a part or parts of the appliance, apparatus, equipment, patents, licenses, franchises, rights, contracts or other property of any kind, of any fire alarm telegraph or fire alarm signal company doing business in the city, at a price to be agreed upon with the persons or corporation owning the same, and every such corporation is hereby authorized to sell, lease or license the same to the city."

**Why:** Managing and maintaining the city's fire alarm system requires a detailed inventory of its components.

**One row represents:** A single component of the city's fire alarm telegraph system.

**Covers:** All fire alarm telegraph, signal, and alarm stations, poles, wires, boxes, and other related appliances.

**Columns:**
*   Component ID
*   Component Type (e.g., Alarm Station, Signal Box, Pole, Wire, Appliance)
*   Location (Address, GPS Coordinates)
*   Installation Date
*   Manufacturer
*   Model Number
*   Status (e.g., Operational, In Repair, Damaged)
*   Last Inspection Date (Link to Dataset 3)
*   Last Maintenance Date
*   Maintenance Schedule
*   Notes/Comments

**10. EEO Complaint Cases**

**Quotes:**
*   Section 15-143.a.5: "Providing additional and targeted interactive training to firehouses, as the department deems necessary, including but not limited to firehouses where one or more employee was found in violation of the city's equal employment opportunity policy or human rights law, or the department's anti-discrimination and anti-harassment policies on two or more occasions during the prior year."
*   Section 15-146.a: "EEO complaint. The term "EEO complaint" means a complaint filed with the equal employment opportunity office of the department regarding a potential violation of the city's equal employment opportunity policy."
*   Section 15-146.c.1: "The number of EEO complaints filed during the previous fiscal year."
*   Section 15-146.c.2: "The number of EEO complaints resolved during the previous fiscal year."
*   Section 15-146.c.3: "Of the EEO complaints provided pursuant to paragraph 2 of this subdivision, the average time elapsed between the filing and resolution of such complaints."
*   Section 15-146.c.4: "Of the EEO complaints provided pursuant to paragraph 2 of this subdivision, the number of EEO complaints withdrawn prior to a final determination."
*   Section 15-146.c.5: "Of the EEO complaints provided pursuant to paragraph 2 of this subdivision, the number of EEO complaints resolved through mediation."
*   Section 15-146.c.6: "Of the EEO complaints provided pursuant to paragraph 2 of this subdivision, the number of EEO complaints not substantiated, further disaggregated by reason the complaint was not substantiated, including but not limited to: (a) a determination that there was insufficient evidence to establish that the alleged conduct occurred; (b) a determination that the conduct subject to the complaint occurred but did not violate the city's equal employment opportunity policy; or (c) a determination that conduct subject to complaint occurred and violated the city's equal employment opportunity policy but the identity of the offending party was unable to be ascertained."
*   Section 15-146.c.7: "Of the EEO complaints provided pursuant to paragraph 2 of this subdivision, the number of EEO complaints substantiated."
*   Section 15-146.c.8: "Of the EEO complaints provided pursuant to paragraph 7 of this subdivision, the number of EEO complaints that resulted in corrective action taken by the department, further disaggregated by the form of corrective action, including but not limited to: formal reprimand, fine, loss of pay or benefits, transfer, suspension, demotion, and termination."
*   Section 15-146.d: "All information on EEO complaints reported pursuant to subdivision c of this section shall be disaggregated by whether an employee subject to such complaint served in the department's bureau of fire operations, bureau of emergency medical services, or in another civilian position; further disaggregated by the type of misconduct alleged to have occurred, including but not limited to, harassment, bullying, or sexual misconduct."

**Why:** Tracking EEO complaints is required for internal oversight, accountability, and reporting on workplace culture.

**One row represents:** A single EEO complaint filed with the department.

**Covers:** All EEO complaints filed by or against department employees.

**Columns:**
*   Complaint ID
*   Filing Date
*   Complainant Employee ID (Link to Dataset 2)
*   Respondent Employee ID (Link to Dataset 2)
*   Respondent Bureau/Position (Fire Operations, EMS, Civilian)
*   Alleged Misconduct Type (e.g., Harassment, Bullying, Sexual Misconduct, Discrimination)
*   Complaint Status (e.g., Filed, In Investigation, Withdrawn, Resolved)
*   Resolution Date
*   Time to Resolution (Calculated)
*   Resolution Method (e.g., Withdrawn, Mediation, Final Determination)
*   Substantiated (Yes/No)
*   Reason Not Substantiated (if applicable)
*   Corrective Action Taken (Yes/No)
*   Form of Corrective Action (e.g., Reprimand, Fine, Loss of Pay, Transfer, Suspension, Demotion, Termination)
*   Notes/Comments

**11. Container Installation Approvals**

**Quotes:**
*   Section 487.d: "The commissioner shall have sole and exclusive jurisdiction over the approval of the installation of all containers for combustibles, chemicals, explosives, inflammables or other dangerous substances, articles, compounds or mixtures, except storage tanks and auxiliary storage tanks for oil-burning equipment and except where the location of the container may affect the structural condition of the building, in which case the commissioner shall not give his approval without the approval of the commissioner of buildings. The commissioner shall certify his approval of all installations of containers in buildings except storage tanks and auxiliary storage tanks for oil-burning equipment to the commissioner of buildings."

**Why:** The department has exclusive jurisdiction over approving installations of containers for dangerous substances.

**One row represents:** A single application for approval of a container installation.

**Covers:** All applications and approvals for the installation of containers for dangerous substances.

**Columns:**
*   Approval ID
*   Application Date
*   Property/Premises ID (Unique identifier for the location)
*   Applicant Name
*   Applicant Contact Information
*   Container Type
*   Substance Stored
*   Container Capacity
*   Installation Location (within building/premises)
*   Building Commissioner Approval Required (Yes/No)
*   Building Commissioner Approval Received (Yes/No)
*   Approval Status (e.g., Pending, Approved, Denied)
*   Approval Date
*   Certification to Buildings Commissioner (Yes/No)
*   Notes/Conditions of Approval

**12. Auxiliary Fire Alarm System Connections**

**Quotes:**
*   Section 15-127.a.1: "All persons engaged in the maintenance and operation of auxiliary fire alarm telegraph systems from which rent, profit or compensation is derived, and which are connected with the fire alarm telegraph system maintained by the city, or who, for the benefit of their patrons, are permitted to make any use whatsoever of the service of such fire alarm telegraph system shall pay such reasonable compensation to the city for such privilege and for such period of time as shall be fixed by the board of estimate on the recommendation of the commissioner."
*   Section 15-127.b.1: "The owners and proprietors of all multiple dwellings, factories, office buildings, warehouses, stores and offices, theatres and music halls, and the authorities or persons having charge of all hospitals and asylums, and of the public schools and other public buildings, churches and other places where large numbers of persons are congregated for purposes of worship, instruction or amusement, and of all piers, bulkheads, wharves, pier sheds, bulkhead sheds or other waterfront structures, shall provide such means of communicating alarms of fire to the department as the commissioner may prescribe."
*   Section 15-127.b.2: "The commissioner is authorized to fix and collect reasonable charges for the maintenance and equipment of such special fire alarm service thus provided, and such moneys when collected by the commissioner shall be paid into the general fund."
*   Section 15-127.c.1: "In every hotel, lodging house, public or private hospital or asylum, department store, and public school, there shall be placed and provided, when required by the commissioner, an adequate and reliable electrical or other interior alarm system, to be approved by the commissioner, by means of which alarms of fire or other danger may be instantly communicated to every portion of the building."

**Why:** The department regulates and charges for private connections to the city's fire alarm system.

**One row represents:** A single auxiliary fire alarm system connection or required interior alarm system.

**Covers:** All auxiliary fire alarm systems connected to the city system and all required interior alarm systems.

**Columns:**
*   Connection ID
*   Property/Premises ID (Unique identifier for the location)
*   Owner/Proprietor Name
*   Owner/Proprietor Contact Information
*   System Type (e.g., Auxiliary Fire Alarm, Interior Alarm System)
*   Connection Date
*   Approval Status (e.g., Approved, Required, Pending)
*   Annual Compensation/Charge Amount
*   Billing Cycle
*   Last Payment Date
*   Payment Status
*   System Approval by Commissioner (Yes/No)
*   Last Inspection Date (Link to Dataset 3)
*   Working Order Status (Yes/No)
*   Notes/Comments

**13. Fines and Penalties Collection Log**

**Quotes:**
*   Section 491.a.2: "To cause any order of the commissioner which is not complied with within the time fixed in the order for such compliance to be enforced and to take proceedings for the enforcement thereof as may be provided by law."
*   Section 15-119: "Whenever any member of the uniformed force of the department, while in the actual performance of his or her duty, shall lose or have destroyed any of his or her personal belongings, and shall present satisfactory proof thereof to the commissioner, such member shall be reimbursed to the extent of the loss sustained, at the expense of the city."
*   Section 15-127.b.1: "Any person who shall violate, or refuse, or neglect to comply with this provision shall, upon conviction thereof, be punished by a fine of not more than five hundred dollars, or by imprisonment not exceeding six months, or by both; and any such person shall, also, for each offense, be subject to the payment of a penalty in the sum of two hundred fifty dollars, to be recovered in a civil action brought in the name of the commissioner."
*   Section 15-216.a: "Any person who shall violate or fail to comply with any laws, rules, or regulations enforceable by the department, unless a different penalty is specifically provided, shall be guilty of a violation and upon conviction thereof shall be punished by a fine of not more than five thousand dollars for each offense. Such person shall also be subject to the payment of a civil penalty of not more than five thousand dollars which may be recovered in a civil action brought in the name of the commissioner."
*   Section 15-216.b: "Any person who shall knowingly violate or fail to comply with any laws, rules, or regulations enforceable by the department, unless a different penalty is specifically provided, shall be guilty of a misdemeanor and, upon conviction thereof, shall be punished by a fine of not more than ten thousand dollars or imprisonment for not more than six months or both for each offense. Such person shall also be liable for a civil penalty of not more than ten thousand dollars which may be recovered in a civil action brought in the name of the commissioner."
*   Section 15-217: "The commissioner is authorized and empowered to receive and collect all license fees mentioned in this title and chapter four of title twenty-seven of the code, and may sue for, and shall have the exclusive right of recovery of any and all fees, fines and penalties imposed hereunder, together with costs."
*   Section 15-220.1.a: "Any person who shall knowingly make a false statement or who shall knowingly falsify or allow to be falsified any certificate, form, signed statement, application, report or certification of the correction of a violation required under the provisions of any laws, rules, or regulations enforceable by the department, shall be punished by a fine of not less than one thousand dollars nor more than five thousand dollars or by imprisonment not to exceed six months, or both for each such offense."
*   Section 15-220.1.b: "Such person shall also be liable for a civil penalty of not less than one thousand dollars nor more than five thousand dollars which may be recovered in a proceeding before the environmental control board."
*   Section 15-223.1.a: "Any person who shall violate or fail to comply with an order issued by the commissioner... shall... be punished by a fine not to exceed five thousand dollars. Such person shall also be subject to the payment of a civil penalty of not more than five thousand dollars to be recovered in a civil action brought in the name of the commissioner or in a proceeding before the environmental control board."
*   Section 15-227.1.a: "Any person who violates the provisions of an order to vacate issued pursuant to section 15-227 of this code shall be liable for a civil penalty of not more than twenty-five thousand dollars and an additional civil penalty of not more than one thousand dollars for each day the violation continues."
*   Section 15-227.1.b: "Except as authorized by the commissioner, any person who removes or causes to be removed the seal from any premises sealed in accordance with an order of the commissioner or his or her designee shall be guilty of a misdemeanor punishable by imprisonment for no more than one year or a fine not to exceed fifty thousand dollars, or both such fine and imprisonment. Such person shall also be subject to a civil penalty not to exceed fifty thousand dollars."
*   Section 15-227.1.d: "Any person who makes a material false statement in any document submitted pursuant to subdivision c of this section which statement he or she knows or has reason to know will be relied upon by the commissioner in determining whether he or she will allow access to the premises shall be liable for a civil penalty of not more than fifty thousand dollars."
*   Section 15-227.1.e: "Notwithstanding any other law, rule, or regulation, any person... who permits a building... to be unlawfully occupied or used in contravention of an order of the commissioner pursuant to section 15-227... shall be liable for a civil penalty of not more than one million dollars, if any other person suffers serious physical injury... or death in the building... as a result of such unlawful occupancy or use."
*   Section 15-229.a: "Any person who shall violate or fail to comply with any such laws, rules, or regulations shall... be liable for a civil penalty which may be recovered in a proceeding before the environmental control board."
*   Section 15-231.a: "Any person who shall fail to comply with an order of the commissioner issued pursuant to subdivision a of section 15-230... shall... be liable for a civil penalty of not more than five thousand dollars for each violation for which there has been a failure to comply with such order."

**Why:** The department is authorized to impose and collect fines and penalties for violations.

**One row represents:** A single fine or penalty imposed or collected.

**Covers:** All fines, penalties, and reimbursements for property loss, including those from violations, false statements, and non-compliance with orders.

**Columns:**
*   Transaction ID
*   Violation ID (Link to Dataset 4)
*   Employee ID (for property loss reimbursement, Link to Dataset 2)
*   Date Imposed
*   Date Due
*   Amount Imposed
*   Amount Collected
*   Collection Date
*   Payment Status (e.g., Paid, Outstanding, Partial Payment)
*   Responsible Party Name
*   Responsible Party Type (Individual, Corporation, etc.)
*   Penalty Type (e.g., Violation Fine, Civil Penalty, False Statement Penalty, Non-Compliance Penalty, Vacate Order Violation, Seal Removal, False Statement for Access, Unlawful Occupancy)
*   Legal Action (e.g., Civil Action, ECB Proceeding)
*   Notes/Comments

**14. Outreach Event Log**

**Quotes:**
*   Section 15-132.a: "The department shall make a good faith effort to directly contact owners and occupants of R-2 multiple dwellings to ensure that appropriate fire safety procedures, resources, and educational materials are in place. These efforts shall include, where appropriate, (i) ensuring compliance with fire code section 401.6 and applicable department rules relating to owners providing notice to occupants of fire safety measures, (ii) providing fire safety and fire prevention educational materials, (iii) providing relevant training to staff at such dwellings, and (iv) providing educational materials and conducting outreach relating to the safe operation of electric space heaters in residential settings."
*   Section 15-133.a: "The department, in consultation with the department of education, shall develop and implement a plan for educating both children and parents about fire safety and prevention. Such plan shall include but need not be limited to public service announcements, outreach in public and non-public schools about common fire dangers for children and preventative measures to be taken by parents."
*   Section 15-147.b: "The department, in consultation with the department of consumer and worker protection, shall develop an informational campaign to educate the public on the fire risks posed by powered mobility devices and safety measures that mitigate such risks. Such campaign shall address both commercial and personal use of powered mobility devices and include, but not be limited to, guidance on: (i) purchasing mobility devices and battery equipment that meet established fire safety standards; (ii) maintenance and care information for powered mobility devices and lithium-ion batteries; and (iii) storage and charging precautions for powered mobility devices and lithium-ion batteries. Such campaign shall include, but not be limited to, the use of print, online and social media advertisements, public service announcements, and public forums."

**Why:** Tracking public education and outreach activities is necessary to demonstrate compliance with mandates and assess program reach.

**One row represents:** A single public education or outreach event.

**Covers:** All residential education and outreach, youth education and outreach, and powered mobility device education campaigns and events.

**Columns:**
*   Event ID
*   Event Date
*   Event Type (e.g., Residential Outreach, Youth Outreach, Powered Mobility Device Campaign, Public Forum, School Visit)
*   Target Audience (e.g., R-2 Dwelling Owners/Occupants, Children, Parents, General Public, Commercial Users)
*   Location/Venue
*   Organizer/Lead Employee ID (Link to Dataset 2)
*   Number of Attendees/Participants (if applicable)
*   Materials Distributed (e.g., Fire Safety Guides, Heater Safety Info, Powered Mobility Device Safety Info)
*   Languages of Materials
*   Key Topics Covered
*   Partners (e.g., Department of Education, Department of Consumer and Worker Protection)
*   Notes/Feedback

**15. Vessel Removal Orders**

**Quotes:**
*   Section 487.c: "The commissioner shall have power to cause any vessel moored to or anchored near any dock or pier in the city to be removed to and secured at such place in the harbor as shall be designated by the commissioner, provided that such vessel shall be on fire or in danger of catching fire or may be, by reason of its condition or the nature of its cargo, a fire menace to shipping, to property or to the water front of the city."

**Why:** The commissioner has the power to order the removal of vessels posing a fire hazard.

**One row represents:** A single order for vessel removal.

**Covers:** All orders issued by the commissioner for the removal of vessels.

**Columns:**
*   Order ID
*   Order Date
*   Vessel Name/ID
*   Vessel Location (Mooring/Anchoring Point)
*   Reason for Removal (e.g., On Fire, Danger of Catching Fire, Fire Menace due to Condition/Cargo)
*   Designated Removal Location
*   Owner/Operator Name
*   Owner/Operator Contact Information
*   Compliance Status (e.g., Complied, Non-Compliant)
*   Date of Compliance
*   Enforcement Action Taken (if applicable)
*   Notes/Comments

**16. Building Razing Orders**

**Quotes:**
*   Section 15-124.a: "The commissioner may order any building which is on fire, or any other building near thereto which he or she deems hazardous, or likely to take fire, or to convey the fire to other buildings, to be razed, if, in his or her discretion, such action is necessary to prevent the spread of fire or to prevent the loss of life or property therefrom."
*   Section 15-124.b: "Whenever the razing of a building is thus ordered, it shall be the duty of any member or members of the department, under the direction of the officer in command at such fire, to level and destroy such building by the use of explosives, and it shall be lawful for them to enter and take possession of the same for such purpose."
*   Section 15-124.c: "Upon the application of any person interested in any building so razed, or in its contents, to the supreme court... it shall be the duty of such court to issue a precept for a jury to inquire into and assess the damages which the owners of such building and all persons having an estate or interest therein or in the contents thereof, have respectively sustained by the razing of such building or its contents."

**Why:** The commissioner has the authority to order the razing of buildings to prevent fire spread.

**One row represents:** A single order for building razing.

**Covers:** All orders issued by the commissioner for the razing of buildings.

**Columns:**
*   Order ID
*   Order Date
*   Building Address/Property ID
*   Reason for Razing (e.g., On Fire, Hazardous, Likely to Take Fire, Prevent Spread)
*   Officer in Command (Link to Dataset 2)
*   Razing Method (e.g., Explosives, Demolition)
*   Date of Razing
*   Owner Name
*   Owner Contact Information
*   Damage Assessment Claim Filed (Yes/No)
*   Court Precept Issued (Yes/No)
*   Jury Assessment Amount
*   Payment to Owners/Interested Parties
*   Notes/Comments

**17. Arson Reward Payments**

**Quotes:**
*   Section 15-233.a: "The city hereby offers a reward of not more than one thousand dollars per conviction to any person or persons giving information leading to the detection, arrest and conviction of any person or persons guilty of arson, attempted arson or conspiracy to commit arson, or felony murder arising in connection with arson."
*   Section 15-233.e: "Subject to the conditions and limitations set forth in subdivisions a and b of this section, the commissioner, in his or her discretion, shall determine the amount payable and certify to the comptroller the name of the person or persons to whom the reward shall be made payable and the amount to be paid."
*   Section 15-233.f: "The comptroller shall pay such reward as a claim against the city from the funds appropriated therefor by warrant to the person or persons named in such certification."
*   Section 15-233.g: "The offer made by this section shall not be available: (1) to any person employed by or having auxiliary status or other membership in any police or fire department or other law enforcement agency in the state; or (2) to any person who has obtained the information directly or indirectly from a member of any police or fire department or other law enforcement agency in the state."

**Why:** The city offers rewards for information leading to arson convictions, requiring payment tracking.

**One row represents:** A single reward payment for arson-related information.

**Covers:** All reward payments made for information leading to arson convictions.

**Columns:**
*   Payment ID
*   Incident ID (Link to Dataset 1)
*   Conviction Date
*   Informant Name
*   Informant Eligibility Verified (Yes/No)
*   Reward Amount Certified
*   Certification Date
*   Comptroller Payment Date
*   Notes/Comments

**Section 4, Non-tabular Data Summary:**

*   **Official Documents:** Commissioner's designation as Chief, Deputy appointments, Clerk/Bureau Chief designations, Department Seal, Treasurer's bond, Warrants of appointment, Rules and Regulations for uniformed force, Mutual Aid Agreements, Contracts for services, City Environmental Quality Review (CEQR) input documents, Residential Fire Emergency Response Guide, Planning Checklist for individuals with limited mobility.
*   **Legal/Policy Documents:** Laws and rules enforced by the department, Health Code, Building Code, Labor Law, Multiple Dwelling Law, Civil Service Rules, Pension fund documents, Collective bargaining agreements.
*   **Investigative Records:** Testimony from investigations (Section 15-220.b), reports of investigating officers (Section 15-220.b), evidence collected in arson cases.
*   **Public Information/Outreach Materials:** Public service announcements, educational materials (fire safety, space heaters, powered mobility devices), diagrams of means of exit, signage for elder abuse resources, notices regarding closed doors and fires, posters for arson rewards.
*   **Financial Records:** Receipts, budget appropriations, detailed expenditure reports (e.g., recruitment expenditures).
*   **Personnel Records (Non-tabular aspects):** Job applications, medical records, psychological evaluations, detailed disciplinary hearing transcripts, performance reviews, pension fund transfer requests.
*   **Facility Survey Reports:** Detailed findings from firehouse surveys for mixed-gender workforce upgrades.
*   **Strategic Plans:** Recruitment and retention plans, diversity, inclusion, anti-discrimination, and anti-harassment training plans, youth education and outreach plans.
*   **External Reports:** Reports from the Office of the Chief Medical Examiner on cause of death.
*   **Correspondence:** Written notices for firehouse closings/relocations, referrals to other departments, council member notifications.
