**Identified Tabular Datasets**

1.  **Birth, Fetal Death, and Death Registrations**
23. **Inter-Agency Agreements**
    *   **Quotes:**
        *   "arrange, with the approval of the mayor, for the rendition of services and operation of facilities by other agencies of the city;" (Section 556.a.5)
    *   **Why:** The agency must track agreements with other city agencies for services and facility operations.
    *   **One row represents:** A single agreement with another city agency.
    *   **Covers:** All agreements for services and facility operations rendered by other city agencies.
    *   **Columns:**
        *   Agreement ID
        *   Partner Agency Name
        *   Agreement Type (e.g., Service Rendition, Facility Operation)
        *   Description of Services/Facilities
        *   Start Date
        *   End Date
        *   Approval Date (Mayor's)
        *   Financial Terms
        *   Status (Active, Expired, Terminated)
        *   Performance Metrics

24. **Legal Proceedings**
    *   **Quotes:**
        *   "The department may sue and be sued in and by the proper name of "Department of Health and Mental Hygiene of the City of New York"" (Section 564)
        *   "Compel the attendance of witnesses, administer oaths and compel the production of books, papers and documents in any matter or proceeding before the commissioner." (Section 555.b.1)
        *   "The chief medical examiner or his or her designee shall have power to require the attendance and take testimony under oath of such persons as he or she may deem necessary and to require the production of books, accounts, papers and other evidence relative to any matter within the jurisdiction of the office." (Section 557.e)
    *   **Why:** The agency must track all legal actions and proceedings it is involved in for risk management and compliance.
    *   **One row represents:** A single legal proceeding or investigation event.
    *   **Covers:** All lawsuits, administrative proceedings, and formal investigations where the department or commissioner has powers to compel testimony/documents.
    *   **Columns:**
        *   Case ID
        *   Case Type (Lawsuit, Administrative Hearing, Investigation)
        *   Parties Involved (Plaintiff, Defendant, Subject)
        *   Date Initiated
        *   Status (Open, Closed, Appealed)
        *   Outcome/Decision
        *   Date Closed
        *   Legal Counsel Assigned
        *   Witnesses Compelled (Count)
        *   Documents Produced (Count)
        *   Related [Health Code Violations and Enforcement Actions ID (4)] (if applicable)
        *   Related [Medical Examiner Death Investigations ID (2)] (if applicable)

25. **Vital Record Certificate Amendments**
    *   **Quotes:**
        *   "it shall provide for the recording of births which have not been recorded in accordance with law, for the change or alteration of any birth, fetal death or death certificate upon proof satisfactory, to the commissioner" (Section 558.c)
    *   **Why:** The agency must track all requests and approvals for amendments to vital records.
    *   **One row represents:** A single request for a change or alteration to a vital record certificate.
    *   **Covers:** All requests for amendments to birth, fetal death, and death certificates.
    *   **Columns:**
        *   Amendment Request ID
        *   [Birth, Fetal Death, and Death Registrations ID (1)]
        *   Certificate Type (Birth, Fetal Death, Death)
        *   Request Date
        *   Applicant Name
        *   Field(s) to be Amended
        *   Reason for Amendment
        *   Proof Submitted (Yes/No)
        *   Commissioner Decision Date
        *   Decision (Approved, Denied)
        *   Date Certificate Amended (if approved)

26. **Vital Record Transcript Requests**
    *   **Quotes:**
        *   "it shall provide for... the examination and issuance of transcripts of such certificates and for fees to be charged therefor." (Section 558.c)
    *   **Why:** The agency must track requests for vital record transcripts and associated fees.
    *   **One row represents:** A single request for a vital record transcript.
    *   **Covers:** All requests for transcripts of birth, fetal death, and death certificates.
    *   **Columns:**
        *   Request ID
        *   [Birth, Fetal Death, and Death Registrations ID (1)]
        *   Certificate Type (Birth, Fetal Death, Death)
        *   Request Date
        *   Applicant Name
        *   Purpose of Transcript
        *   Fee Charged
        *   Fee Paid Date
        *   Transcript Issued Date
        *   Status (Requested, Issued, Cancelled)

27. **Diagnostic, Preventive, and Therapeutic Product Distribution**
    *   **Quotes:**
        *   "produce, standardize and distribute certain diagnostic, preventive and therapeutic products" (Section 556.d.3)
    *   **Why:** The agency must track the production and distribution of health products for public health initiatives.
    *   **One row represents:** A single batch or shipment of a diagnostic, preventive, or therapeutic product.
    *   **Covers:** All diagnostic, preventive, and therapeutic products produced, standardized, and distributed by the department.
    *   **Columns:**
        *   Distribution ID
        *   Product Name
        *   Product Type (Diagnostic, Preventive, Therapeutic)
        *   Batch Number
        *   Production Date
        *   Distribution Date
        *   Quantity Distributed
        *   Recipient Entity (e.g., [Department Facilities and Assets ID (16)], [Public Health Program Activities ID (10)])
        *   Cost of Production
        *   Expiration Date

28. **Medical Audit and Research Data Submissions**
    *   **Quotes:**
        *   "engage in or promote health research for the purpose of improving the quality of medical and health care; in conducting such research, the department shall have the authority to conduct medical audits, to receive reports on forms prepared or prescribed by the department; such information when received by the department shall be kept confidential and used solely for the purpose of medical or scientific research or the improvement of the quality of medical care;" (Section 556.d.2)
        *   "The chief medical examiner may, to the extent permitted by law, provide forensic and related testing and analysis, and ancillary services, in furtherance of investigations concerning persons both alive and deceased, including but not limited to: performing autopsies; performing deoxyribonucleic acid (DNA) testing and other forms of genetic testing and analysis; obtaining samples and exemplars; performing pathology, histology and toxicology testing and analysis; and determining the cause or manner of injuries and/or death." (Section 557.f.3)
        *   "Notwithstanding any inconsistent provision of this section and in addition to any other powers and duties, the chief medical examiner may engage in health research in conjunction with the department consistent with paragraph two of subdivision d of section five hundred fifty six of this chapter." (Section 557.f.4)
    *   **Why:** The agency must track medical audit and research data submissions to improve healthcare quality and conduct scientific research.
    *   **One row represents:** A single submission of structured data for a medical audit or research project.
    *   **Covers:** Reports received on prescribed forms for medical audits and health research, including data from CME's research.
    *   **Columns:**
        *   Submission ID
        *   Research/Audit Project ID
        *   Submission Date
        *   Data Provider ID (e.g., [Healthcare Facility Registrations/Licenses ID (8)], [Mental Hygiene Service Provider Registrations/Contracts ID (6)])
        *   Data Type (e.g., Patient Outcomes, Service Utilization, Quality Metrics)
        *   Period Covered by Data
        *   Confidentiality Status
        *   Purpose (Medical Research, Quality Improvement)
        *   Analyst ID

29. **Unclaimed/Unidentified Human Remains Management**
    *   **Quotes:**
        *   "The chief medical examiner shall perform the functions of the city mortuary and related functions, including the removal, transportation and disposal of unclaimed or unidentified human remains and the remains of those individuals who have died outside of a medical institution." (Section 557.f.2)
    *   **Why:** The agency must track the management of unclaimed or unidentified human remains for public service and dignity.
    *   **One row represents:** A single instance of managing unclaimed or unidentified human remains.
    *   **Covers:** Removal, transportation, and disposal of unclaimed or unidentified human remains.
    *   **Columns:**
        *   Remains ID
        *   Date Found/Received
        *   Location Found
        *   Status (Unidentified, Unclaimed, Identified, Claimed, Disposed)
        *   Date of Identification (if applicable)
        *   Date Claimed (if applicable)
        *   Claimant Information
        *   Disposal Method (e.g., Burial, Cremation)
        *   Disposal Date
        *   [Medical Examiner Death Investigations ID (2)] (if applicable)

**Non-Tabular Information:**

*   Job applications
*   Rules and regulations (e.g., Health Code text, specific rules for providers)
*   Receipts (individual transaction records are tabular, but the physical receipts are not)
*   Photos
*   Research documents (the *results* of research might be tabular, but the full documents are not)
*   Budget messages (textual explanations)
*   Public hearing notices (the *event* is tabular, the notice itself is not)
*   State reimbursement materials (the *submission* is tabular, the detailed materials themselves are not)
*   Books, papers, and documents compelled in investigations (evidence)
*   Detailed plans and programs (the *tracking* of them is tabular, the full content is not)
*   Individual patient records (while elements are extracted for tabular datasets, the full, unstructured record is not tabular)
*   Medical and immunization information (if in scanned document format, not structured data)
